Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_Adj Close,UAL_Volume,oil_Close/Last,oil_Volume,oil_Open,oil_High,oil_Low
11/27/18,92.370003,94.190002,92.129997,93.379997,93.379997,4035900,51.56,744480,51.54,52.38,50.3
11/28/18,94.110001,94.720001,93.419998,94.480003,94.480003,3438600,50.29,810458,52.09,52.56,50.06
11/29/18,94.040001,95.449997,94.029999,95.07,95.07,3617700,51.45,792208,50.31,52.2,49.41
11/30/18,94.900002,96.800003,94.900002,96.699997,96.699997,4034100,50.93,774181,51.27,51.79,49.65
12/3/18,97.669998,97.849998,95.959999,96.459999,96.459999,2800600,52.95,735689,52.45,53.85,52.03
12/4/18,95.029999,95.529999,90.540001,91.940002,91.940002,5576500,53.25,718189,53.13,54.55,52.43
12/6/18,90.940002,93.230003,90.169998,93.029999,93.029999,3766800,51.49,954346,52.93,53.3,50.08
12/7/18,92.239998,92.650002,87.610001,88.230003,88.230003,5052600,52.61,942216,51.76,54.22,50.6
12/10/18,88.050003,89.870003,87.07,88.550003,88.550003,3089500,51,691416,52.03,52.81,50.53
12/11/18,89.489998,89.650002,87.529999,88.139999,88.139999,4525100,51.65,628303,50.89,52.43,50.7
12/12/18,88.919998,90.300003,88.349998,89.629997,89.629997,2868500,51.15,689410,51.95,52.88,50.94
12/13/18,89.629997,90.150002,86.230003,87.480003,87.480003,3776400,52.58,695086,51.2,53.27,50.35
12/14/18,86.580002,89.849998,86.580002,87.739998,87.739998,2800700,51.2,507143,52.83,52.95,50.84
12/17/18,87.879997,88.150002,85.919998,86.209999,86.209999,4051900,49.88,190278,51.25,51.87,49.01
12/18/18,87.169998,88.879997,87.169998,87.800003,87.800003,3276800,46.24,80916,49.16,49.59,45.79
12/19/18,87.779999,88.690002,85.389999,86.370003,86.370003,2715100,47.2,24967,45.93,48,45.93
12/20/18,86.279999,86.889999,83.260002,84.410004,84.410004,3966500,45.88,768371,47.39,47.51,45.67
12/21/18,84.040001,85.5,81.25,81.470001,81.470001,10687300,45.59,671666,46.25,46.77,45.13
